Generation,Best_Fitness,Avg_Fitness,Success_Rate_Perc,Species_Count,Expert_Help_Weight
98,0.1,0.1,0.0,5,0.0
99,246.3,7.48,0.0,5,0.0
100,462.32,42.61,0.0,5,0.0
101,295.25,17.32,0.0,5,0.0
102,96.39,7.1,0.0,5,0.0
103,1576.96,18.27,0.0,5,0.0
104,0.1,0.1,0.0,5,0.0
105,39.74,2.05,0.0,5,0.0
106,237.5,15.77,0.0,5,0.0
107,316.1,7.6,0.0,5,0.0
108,4496.65,44.66,0.2,5,0.0
109,4.14,0.13,0.0,5,0.0
110,608.04,5.74,0.0,5,0.0
111,3173.57,18.43,0.0,5,0.0
112,1289.83,23.53,0.0,5,0.0
113,214.75,3.91,0.0,5,0.0
114,366.36,16.72,0.0,5,0.0
115,247.76,15.38,0.0,5,0.0
116,252.84,21.52,0.0,5,0.0
117,258.64,7.76,0.0,5,0.0
118,252.01,2.81,0.0,5,0.0
119,4520.41,113.46,0.98,5,0.0
120,4505.55,170.57,0.2,5,0.0
121,0.1,0.1,0.0,5,0.0
122,44.2,3.56,0.0,5,0.0
123,265.13,18.71,0.0,5,0.0
124,1021.85,19.72,0.0,5,0.0
125,870.72,20.07,0.0,5,0.0
126,241.11,26.06,0.0,5,0.0
127,1736.83,16.49,0.0,5,0.0
128,319.33,27.22,0.0,5,0.0
129,261.34,19.02,0.0,5,0.0
130,316.19,14.96,0.0,5,0.0
131,220.95,30.11,0.0,5,0.0
132,1240.59,15.72,0.0,5,0.0
133,258.83,11.48,0.0,5,0.0
134,75.12,10.75,0.0,5,0.0
135,0.1,0.1,0.0,5,0.0
136,2222.81,26.25,0.0,5,0.0
137,133.76,13.96,0.0,5,0.0
138,3102.96,16.0,0.0,5,0.0
139,241.33,9.5,0.0,5,0.0
140,142.24,7.08,0.0,5,0.0
141,390.16,18.3,0.0,5,0.0
142,48.56,3.88,0.0,5,0.0
143,83.91,12.54,0.0,5,0.0
144,231.74,5.36,0.0,5,0.0
145,279.5,40.31,0.0,5,0.0
146,298.35,23.14,0.0,5,0.0
147,266.15,37.88,0.0,5,0.0
148,22.72,0.34,0.0,5,0.0
149,1037.58,17.8,0.0,5,0.0
150,68.04,8.21,0.0,5,0.0
151,103.12,12.78,0.0,5,0.0
152,1538.44,34.35,0.0,5,0.0
153,601.21,38.2,0.0,5,0.0
154,4500.09,263.13,1.76,5,0.0
155,254.12,45.29,0.0,5,0.0
156,262.67,7.32,0.0,5,0.0
157,0.1,0.1,0.0,5,0.0
158,245.94,22.31,0.0,5,0.0
159,98.85,4.35,0.0,5,0.0
160,2494.44,50.43,0.0,5,0.0
161,263.63,27.08,0.0,5,0.0
162,719.89,20.32,0.0,5,0.0
163,47.58,12.78,0.0,5,0.0
164,0.1,0.1,0.0,5,0.0
165,304.52,15.49,0.0,5,0.0
166,295.57,26.37,0.0,5,0.0
167,334.85,4.57,0.0,5,0.0
168,0.1,0.1,0.0,5,0.0
169,258.96,11.48,0.0,5,0.0
